# Generated from ../data/13JUL2013/000.dat
time v v_c
25.175 2.00852 2
25.18 2.0033 2
25.185 2.00226 2
25.19 1.9912 2
25.195 1.98591 2
25.2 1.99232 2
25.205 1.99426 2
25.21 1.99566 2
25.215 1.9967 2
25.22 1.99743 2
25.225 2.00828 2
25.23 2.00312 2
25.235 2.00213 2
25.24 2.00139 2
25.245 1.99059 2
25.25 1.99573 2
25.255 1.99675 2
25.26 1.99747 2
25.265 1.98773 2
25.27 1.98336 2
25.275 1.99048 2
25.28 1.9929 2
25.285 1.99469 2
25.29 1.99597 2
25.295 1.99692 2
25.3 1.9976 2
25.305 1.99811 2
25.31 1.99846 2
25.315 1.98845 2
25.32 1.98388 2
25.325 1.99086 2
25.33 1.99318 2
25.335 1.99489 2
25.34 1.99612 2
25.345 1.99703 2
25.35 1.99768 2
25.355 1.99816 2
25.36 2.00879 2
25.365 2.0138 2
25.37 2.01743 2
25.375 2.0201 2
25.38 2.03231 2
25.385 2.02819 2
25.39 2.02791 2
25.395 2.02773 2
25.4 2.02758 2
25.405 2.02749 2
25.41 2.02741 2
25.415 2.02736 2
25.42 2.02731 2
25.425 2.02729 2
25.43 2.02726 2
25.435 2.03754 2
25.44 2.04227 2
25.445 2.03544 2
25.45 2.0332 2
25.455 2.03158 2
25.46 2.03039 2
25.465 2.02953 2
25.47 2.02889 2
25.475 2.01816 2
25.48 2.02335 2
25.485 2.02441 2
25.49 2.02516 2
25.495 2.02573 2
25.5 2.02612 2
25.505 2.02643 2
25.51 2.02663 2
25.515 2.0268 2
25.52 2.0269 2
25.525 2.02699 2
25.53 2.02704 2
25.535 2.01681 2
25.54 2.02237 2
25.545 2.0237 2
25.55 2.02464 2
25.555 2.02535 2
25.56 2.02584 2
25.565 2.02623 2
25.57 2.02648 2
25.575 2.02669 2
25.58 2.02682 2
25.585 2.02694 2
25.59 2.027 2
25.595 2.01678 2
25.6 2.02235 2
25.605 2.02368 2
25.61 2.02463 2
25.615 2.02534 2
25.62 2.02584 2
25.625 2.02622 2
25.63 2.02648 2
25.635 2.02669 2
25.64 2.02682 2
25.645 2.02694 2
25.65 2.027 2
25.655 2.01678 2
25.66 2.01206 2
25.665 2.01893 2
25.67 2.02117 2
25.675 2.02282 2
25.68 2.024 2
25.685 2.02489 2
25.69 2.03579 2
25.695 2.03073 2
25.7 2.02976 2
25.705 2.02908 2
25.71 2.02856 2
25.715 2.02821 2
25.72 2.02793 2
25.725 2.02774 2
25.73 2.02759 2
25.735 2.0275 2
25.74 2.02741 2
25.745 2.02737 2
25.75 2.0376 2
25.755 2.04233 2
25.76 2.03547 2
25.765 2.03324 2
25.77 2.03159 2
25.775 2.03041 2
25.78 2.02953 2
25.785 2.02891 2
25.79 2.03873 2
25.795 2.03286 2
25.8 2.03132 2
25.805 2.03021 2
25.81 2.02939 2
25.815 2.02881 2
25.82 2.03865 2
25.825 2.0431 2
25.83 2.04631 2
25.835 2.04868 2
25.84 2.04009 2
25.845 2.03661 2
25.85 2.03404 2
25.855 2.04249 2
25.86 2.04587 2
25.865 2.04835 2
25.87 2.03986 2
25.875 2.03643 2
25.88 2.03392 2
25.885 2.03211 2
25.89 2.04105 2
25.895 2.03456 2
25.9 2.03256 2
25.905 2.03111 2
25.91 2.01976 2
25.915 2.01425 2
25.92 2.01022 2
25.925 2.0073 2
25.93 2.00516 2
25.935 2.0139 2
25.94 2.01751 2
25.945 2.02015 2
25.95 2.01177 2
25.955 2.00843 2
25.96 2.00598 2
25.965 2.00422 2
25.97 2.00291 2
25.975 2.00198 2
25.98 2.00128 2
25.985 2.00079 2
25.99 2.0107 2
25.995 2.01519 2
26 2.00816 2
26.005 2.01609 2
26.01 2.0191 2
26.015 2.01103 2
26.02 2.00787 2
26.025 2.00559 2
26.03 2.00391 2
26.035 2.00271 2
26.04 2.00181 2
26.045 2.01146 2
26.05 2.01573 2
26.055 2.00857 2
26.06 2.01636 2
26.065 2.01931 2
26.07 2.01116 2
26.075 2.00798 2
26.08 2.00565 2
26.085 2.00397 2
26.09 2.00273 2
26.095 2.01213 2
26.1 2.00592 2
26.105 2.00417 2
26.11 2.01316 2
26.115 2.00669 2
26.12 2.00471 2
26.125 2.00328 2
26.13 2.00223 2
26.135 2.00148 2
26.14 2.00091 2
26.145 1.99023 2
26.15 1.99547 2
26.155 1.99656 2
26.16 1.99733 2
26.165 2.0082 2
26.17 2.00307 2
26.175 2.00209 2
26.18 2.00136 2
26.185 2.00085 2
26.19 1.99017 2
26.195 1.99545 2
26.2 1.99652 2
26.205 1.99732 2
26.21 2.00817 2
26.215 2.01335 2
26.22 2.00682 2
26.225 2.00483 2
26.23 2.00335 2
26.235 2.0023 2
26.24 2.0118 2
26.245 2.00571 2
26.25 2.004 2
26.255 2.00277 2
26.26 2.00186 2
26.265 2.00121 2
26.27 2.00072 2
26.275 2.00038 2
26.28 2.00012 2
26.285 1.99994 2
26.29 1.9998 2
26.295 1.99971 2
26.3 1.98934 2
26.305 1.98455 2
26.31 1.98105 2
26.315 1.9888 2
26.32 1.99168 2
26.325 1.9938 2
26.33 1.98503 2
26.335 1.98141 2
26.34 1.98905 2
26.345 1.98159 2
26.35 1.97889 2
26.355 1.97694 2
26.36 1.98579 2
26.365 1.97922 2
26.37 1.97716 2
26.375 1.97568 2
26.38 1.98487 2
26.385 1.98883 2
26.39 1.98142 2
26.395 1.98907 2
26.4 1.99187 2
26.405 1.99394 2
26.41 1.98514 2
26.415 1.98149 2
26.42 1.97882 2
26.425 1.98717 2
26.43 1.98021 2
26.435 1.9779 2
26.44 1.98649 2
26.445 1.99001 2
26.45 1.98228 2
26.455 1.97941 2
26.46 1.98758 2
26.465 1.98053 2
26.47 1.97811 2
26.475 1.97637 2
26.48 1.97509 2
26.485 1.98446 2
26.49 1.97823 2
26.495 1.97646 2
26.5 1.97515 2
26.505 1.97421 2
26.51 1.97351 2
26.515 1.97302 2
26.52 1.97265 2
26.525 1.9724 2
26.53 1.97219 2
26.535 1.97207 2
26.54 1.96167 2
