# Generated from ../data/13JUL2013/000.dat
time T_rw T_rw_desired T_s T_s_desired
28.14 -6.70927 -6.70927 0.119489 0.119489
28.16 -5.58567 -5.58567 -0.0881339 -0.0881339
28.18 -6.13453 -6.13453 0.0283349 0.0283349
28.2 -5.58316 -5.58316 0.0810625 0.0810625
28.22 -6.64999 -6.64999 -0.0255667 -0.0255667
28.24 -6.24463 -6.24463 0.125498 0.125498
28.26 -8.03744 -8.03744 0.00304376 0.00304376
28.28 -8.57714 -8.57714 -0.0989218 -0.0989218
28.3 -8.73016 -8.73016 0.218119 0.218119
28.32 -8.91395 -8.91395 -0.031561 -0.031561
28.34 -7.43561 -7.43561 -0.166873 -0.166873
28.36 -6.84659 -6.84659 0.176482 0.176482
28.38 -7.69922 -7.69922 0.193252 0.193252
28.4 -8.48911 -8.48911 -0.205669 -0.205669
28.42 -8.85231 -8.85231 -0.0748211 -0.0748211
28.44 -8.95558 -8.95558 0.210296 0.210296
28.46 -9.36081 -9.36081 0.0813646 0.0813646
28.48 -9.47444 -9.47444 -0.0325242 -0.0325242
28.5 -9.50756 -9.50756 0.0957069 0.0957069
28.52 -9.51804 -9.51804 0.18443 0.18443
28.54 -9.52215 -9.52215 0.105951 0.105951
28.56 -9.52443 -9.52443 0.0294165 0.0294165
28.58 -9.90135 -9.90135 0.127865 0.127865
28.6 -9.63366 -9.63366 0.137949 0.137949
28.62 -10.2661 -10.2661 0.00736211 0.00736211
28.64 -10.1139 -10.1139 -0.155378 -0.155378
28.66 -10.0724 -10.0724 0.125179 0.125179
28.68 -10.3935 -10.3935 0.205333 0.205333
28.7 -10.6685 -10.6685 0.0376985 0.0376985
28.72 -10.9392 -10.9392 0.0700731 0.0700731
28.74 -10.6418 -10.6418 0.214669 0.214669
28.76 -10.7426 -10.7426 0.0806959 0.0806959
28.78 -10.9642 -10.9642 -0.0442869 -0.0442869
28.8 -10.6529 -10.6529 0.135308 0.135308
28.82 -11.7661 -11.7661 0.0278116 0.0278116
28.84 -11.0975 -11.0975 -0.0181849 -0.0181849
28.86 -11.2078 -11.2078 0.0794652 0.0794652
28.88 -11.925 -11.925 0.00173967 0.00173967
28.9 -11.1459 -11.1459 0.161336 0.161336
28.92 -12.0502 -12.0502 0.0300257 0.0300257
28.94 -12.0099 -12.0099 0.0245916 0.0245916
28.96 -10.8006 -10.8006 0.0430595 0.0430595
28.98 -11.9586 -11.9586 0.0239003 0.0239003
29 -11.9884 -11.9884 0.212339 0.212339
29.02 -10.6069 -10.6069 0.159566 0.159566
29.04 -12.2833 -12.2833 -0.112633 -0.112633
29.06 -12.0842 -12.0842 0.047179 0.047179
29.08 -10.6381 -10.6381 0.266273 0.266273
29.1 -12.2964 -12.2964 0.0575535 0.0575535
29.12 -10.1858 -10.1858 -0.0343455 -0.0343455
29.14 -10.2655 -10.2655 0.234467 0.234467
29.16 -11.8203 -11.8203 0.198963 0.198963
29.18 -10.0556 -10.0556 0.0238007 0.0238007
29.2 -10.2326 -10.2326 0.252554 0.252554
29.22 -11.8149 -11.8149 0.221386 0.221386
29.24 -10.0579 -10.0579 0.0220421 0.0220421
29.26 -9.72226 -9.72226 0.107999 0.107999
29.28 -10.1437 -10.1437 0.234228 0.234228
29.3 -9.74897 -9.74897 0.0439019 0.0439019
