# Generated from ../data/13JUL2013/000.dat
freq T_rw T_rw_desired T_s T_s_desired
74.1259 56.3705 107.61 1 1
74.2258 54.0856 99.6082 1 1
74.3257 95.6474 183.478 1 1
74.4256 140.748 264.989 1 1
74.5255 219.644 414.114 1 1
74.6254 98.0448 178.929 1 1
74.7253 184.753 346.334 1 1
74.8252 82.8068 155.036 1 1
74.9251 138.833 247.289 1 1
75.025 92.8123 183.496 1 1
75.1249 72.1576 143.041 1 1
75.2248 117.788 222.803 1 1
75.3247 84.4804 152.654 1 1
75.4246 104.855 196.882 1 1
75.5245 38.5393 85.9627 1 1
75.6244 95.8107 164.421 1 1
75.7243 77.684 144.28 1 1
75.8242 77.1791 154.405 1 1
75.9241 104.137 194.416 1 1
76.024 299.539 544.953 1 1
76.1239 79.7584 149.384 1 1
76.2238 29.7696 81.3815 1 1
76.3237 71.342 133.932 1 1
76.4236 80.4433 136.192 1 1
76.5235 97.0432 186.548 1 1
76.6234 199.963 350.494 1 1
76.7233 38.9436 75.6506 1 1
76.8232 161.664 279.247 1 1
76.9231 75.2712 127.908 1 1
77.023 39.4454 73.4496 1 1
77.1229 68.9027 114.96 1 1
77.2228 74.3083 155.144 1 1
77.3227 49.428 114.229 1 1
77.4226 31.6839 67.283 1 1
77.5225 47.1016 82.7549 1 1
77.6224 58.9236 105.073 1 1
77.7223 66.4198 105.491 1 1
77.8222 36.4311 65.4519 1 1
77.9221 27.6608 51.1889 1 1
78.022 35.8375 61.9748 1 1
78.1219 194.613 309.999 1 1
